TRADEDATE;OPEN;HIGH;LOW;CLOSE
05.06.2017;1402.59;1402.59;1402.59;1402.59
06.06.2017;1398.42;1398.42;1398.42;1398.42
07.06.2017;1389.12;1389.12;1389.12;1389.12
08.06.2017;1394.75;1394.75;1394.75;1394.75
09.06.2017;1398.89;1398.89;1398.89;1398.89
13.06.2017;1399.42;1399.42;1399.42;1399.42
14.06.2017;1369.91;1369.91;1369.91;1369.91
15.06.2017;1340.43;1340.43;1340.43;1340.43
16.06.2017;1343.7;1343.7;1343.7;1343.7
19.06.2017;1350.96;1350.96;1350.96;1350.96
20.06.2017;1327.53;1327.53;1327.53;1327.53
21.06.2017;1317.11;1317.11;1317.11;1317.11
22.06.2017;1327.61;1327.61;1327.61;1327.61
23.06.2017;1341.83;1341.83;1341.83;1341.83
26.06.2017;1347.13;1347.13;1347.13;1347.13
27.06.2017;1361.99;1361.99;1361.99;1361.99
28.06.2017;1360.69;1360.69;1360.69;1360.69
29.06.2017;1357.46;1357.46;1357.46;1357.46
30.06.2017;1359.07;1359.07;1359.07;1359.07
03.07.2017;1370.73;1370.73;1370.73;1370.73
04.07.2017;1381.82;1381.82;1381.82;1381.82
05.07.2017;1368.64;1368.64;1368.64;1368.64
06.07.2017;1383.2;1383.2;1383.2;1383.2
07.07.2017;1363.07;1363.07;1363.07;1363.07
10.07.2017;1378.47;1378.47;1378.47;1378.47
11.07.2017;1372.13;1372.13;1372.13;1372.13
12.07.2017;1405.62;1405.62;1405.62;1405.62
13.07.2017;1412.44;1412.44;1412.44;1412.44
14.07.2017;1432.38;1432.38;1432.38;1432.38
17.07.2017;1425.62;1425.62;1425.62;1425.62
18.07.2017;1426.14;1426.14;1426.14;1426.14
19.07.2017;1447.36;1447.36;1447.36;1447.36
20.07.2017;1441;1441;1441;1441
21.07.2017;1422.06;1422.06;1422.06;1422.06
24.07.2017;1406.52;1406.52;1406.52;1406.52
25.07.2017;1401.48;1401.48;1401.48;1401.48
26.07.2017;1416.1;1416.1;1416.1;1416.1
27.07.2017;1430.46;1430.46;1430.46;1430.46
28.07.2017;1407.56;1407.56;1407.56;1407.56
31.07.2017;1397.43;1397.43;1397.43;1397.43
01.08.2017;1407.65;1407.65;1407.65;1407.65
02.08.2017;1417.62;1417.62;1417.62;1417.62
03.08.2017;1428.71;1428.71;1428.71;1428.71
04.08.2017;1424.99;1424.99;1424.99;1424.99
07.08.2017;1433.25;1433.25;1433.25;1433.25
08.08.2017;1455.47;1455.47;1455.47;1455.47
09.08.2017;1436.44;1436.44;1436.44;1436.44
10.08.2017;1428.5;1428.5;1428.5;1428.5
11.08.2017;1418.99;1418.99;1418.99;1418.99
14.08.2017;1431.1;1431.1;1431.1;1431.1
15.08.2017;1425.99;1425.99;1425.99;1425.99
16.08.2017;1429.19;1429.19;1429.19;1429.19
17.08.2017;1435.15;1435.15;1435.15;1435.15
18.08.2017;1426.54;1426.54;1426.54;1426.54
21.08.2017;1435.48;1435.48;1435.48;1435.48
22.08.2017;1442.63;1442.63;1442.63;1442.63
23.08.2017;1450.29;1450.29;1450.29;1450.29
24.08.2017;1457.23;1457.23;1457.23;1457.23
25.08.2017;1471.84;1471.84;1471.84;1471.84
28.08.2017;1483.31;1483.31;1483.31;1483.31
29.08.2017;1481.68;1481.68;1481.68;1481.68
30.08.2017;1505.04;1505.04;1505.04;1505.04
31.08.2017;1520.91;1520.91;1520.91;1520.91
01.09.2017;1527.48;1527.48;1527.48;1527.48
04.09.2017;1515.34;1515.34;1515.34;1515.34
05.09.2017;1527.83;1527.83;1527.83;1527.83
06.09.2017;1535.98;1535.98;1535.98;1535.98
07.09.2017;1541.75;1541.75;1541.75;1541.75
08.09.2017;1554.08;1554.08;1554.08;1554.08
11.09.2017;1563.98;1563.98;1563.98;1563.98
12.09.2017;1560.49;1560.49;1560.49;1560.49
13.09.2017;1552.43;1552.43;1552.43;1552.43
14.09.2017;1563.54;1563.54;1563.54;1563.54
15.09.2017;1560.4;1560.4;1560.4;1560.4
18.09.2017;1554.7;1554.7;1554.7;1554.7
19.09.2017;1540.22;1540.22;1540.22;1540.22
20.09.2017;1559.28;1559.28;1559.28;1559.28
21.09.2017;1556.08;1556.08;1556.08;1556.08
22.09.2017;1560.49;1560.49;1560.49;1560.49
25.09.2017;1571.27;1571.27;1571.27;1571.27
26.09.2017;1566.71;1566.71;1566.71;1566.71
27.09.2017;1566.26;1566.26;1566.26;1566.26
28.09.2017;1564.8;1564.8;1564.8;1564.8
29.09.2017;1580.35;1580.35;1580.35;1580.35
02.10.2017;1569.15;1569.15;1569.15;1569.15
03.10.2017;1570.83;1570.83;1570.83;1570.83
04.10.2017;1580.9;1580.9;1580.9;1580.9
05.10.2017;1590.5;1590.5;1590.5;1590.5
06.10.2017;1576.95;1576.95;1576.95;1576.95
09.10.2017;1575.96;1575.96;1575.96;1575.96
10.10.2017;1579.32;1579.32;1579.32;1579.32
11.10.2017;1591.52;1591.52;1591.52;1591.52
12.10.2017;1593.92;1593.92;1593.92;1593.92
13.10.2017;1611.59;1611.59;1611.59;1611.59
16.10.2017;1613.82;1613.82;1613.82;1613.82
17.10.2017;1597.63;1597.63;1597.63;1597.63
18.10.2017;1600.91;1600.91;1600.91;1600.91
19.10.2017;1588.15;1588.15;1588.15;1588.15
20.10.2017;1582.3;1582.3;1582.3;1582.3
23.10.2017;1577.6;1577.6;1577.6;1577.6
24.10.2017;1571.96;1571.96;1571.96;1571.96
25.10.2017;1559.54;1559.54;1559.54;1559.54
26.10.2017;1559.63;1559.63;1559.63;1559.63
27.10.2017;1560.23;1560.23;1560.23;1560.23
30.10.2017;1567.8;1567.8;1567.8;1567.8
31.10.2017;1552.96;1552.96;1552.96;1552.96
01.11.2017;1571.12;1571.12;1571.12;1571.12
02.11.2017;1560.28;1560.28;1560.28;1560.28
03.11.2017;1547.34;1547.34;1547.34;1547.34
07.11.2017;1599.78;1599.78;1599.78;1599.78
08.11.2017;1604.5;1604.5;1604.5;1604.5
09.11.2017;1619.87;1619.87;1619.87;1619.87
10.11.2017;1613.39;1613.39;1613.39;1613.39
13.11.2017;1602.31;1602.31;1602.31;1602.31
14.11.2017;1585.67;1585.67;1585.67;1585.67
15.11.2017;1557.31;1557.31;1557.31;1557.31
16.11.2017;1571.24;1571.24;1571.24;1571.24
17.11.2017;1579.51;1579.51;1579.51;1579.51
20.11.2017;1574.31;1574.31;1574.31;1574.31
21.11.2017;1600.66;1600.66;1600.66;1600.66
22.11.2017;1616.7;1616.7;1616.7;1616.7
23.11.2017;1616.02;1616.02;1616.02;1616.02
24.11.2017;1626.44;1626.44;1626.44;1626.44
27.11.2017;1618.72;1618.72;1618.72;1618.72
28.11.2017;1617.12;1617.12;1617.12;1617.12
29.11.2017;1596.57;1596.57;1596.57;1596.57
30.11.2017;1578.27;1578.27;1578.27;1578.27
01.12.2017;1580.74;1580.74;1580.74;1580.74
04.12.2017;1582.24;1582.24;1582.24;1582.24
05.12.2017;1582.77;1582.77;1582.77;1582.77
06.12.2017;1578.76;1578.76;1578.76;1578.76
07.12.2017;1562.52;1562.52;1562.52;1562.52
